estacion,n_anios,anio_ini,anio_fin,d_tx30_sen_dec,d_tx30_p,d_tx30_salto,d_tx32_sen_dec,d_tx32_p,d_tx32_salto,d_tx35_sen_dec,d_tx35_p,d_tx35_salto,tx_p99_sen_dec,tx_p99_p,tx_p99_salto,tx_verano_sen_dec,tx_verano_p,tx_verano_salto,noches_trop_sen_dec,noches_trop_p,noches_trop_salto,tmean_sen_dec,tmean_p,tmean_salto,d_helada_sen_dec,d_helada_p,d_helada_salto,hx_p99_sen_dec,hx_p99_p,hx_p99_salto,d_hx35_sen_dec,d_hx35_p,d_hx35_salto,id,concello,provincia,lat,lon,alt
10110,16,2010,2025,2.0,0.5561,0.75,0.385,0.9281,-1.0,2.5,0.1433,1.62,0.614,0.6259,0.1,0.906,0.3984,-0.12,0.0,,0.0,0.841,0.0024,0.49,-7.833,0.2599,-7.12,2.748,0.0641,1.52,5.357,0.5265,7.12,10110,BALTAR,Ourense,41.94622,-7.708379,807.0
10111,16,2010,2025,10.417,0.1362,7.38,7.321,0.2789,5.5,3.333,0.0318,2.62,1.049,0.139,0.88,1.624,0.096,0.77,0.0,0.4563,1.25,0.865,0.0033,0.48,-5.0,0.0858,-4.75,5.87,0.0001,4.73,26.0,0.0025,22.62,10111,ENTRIMO,Ourense,41.944828,-8.106171,763.0
10112,16,2010,2025,3.889,0.5571,1.75,2.679,0.6844,0.62,2.111,0.2556,1.88,0.356,0.8248,0.01,1.04,0.1653,0.3,1.429,0.1752,0.75,0.787,0.0152,0.44,-4.286,0.1864,-3.38,3.799,0.0198,2.21,13.205,0.03,9.38,10112,CELANOVA,Ourense,42.173622,-7.968152,623.0
10113,16,2010,2025,5.934,0.5277,5.25,3.667,0.5561,4.12,1.603,0.2317,2.25,1.036,0.1653,0.78,1.377,0.1949,0.7,0.0,0.2328,0.12,0.796,0.0024,0.51,-3.741,0.6194,-1.62,4.511,0.0017,3.37,18.786,0.0169,14.88,10113,BAÑOS DE MOLGAS,Ourense,42.23335,-7.629124,604.0
10114,16,2010,2025,5.96,0.4155,1.62,12.25,0.1624,3.75,4.722,0.2227,3.0,1.783,0.096,0.53,1.588,0.0641,0.22,1.339,0.0049,2.25,1.071,0.0024,0.56,-10.0,0.1624,-6.38,5.525,0.0001,3.52,10.455,0.1351,7.5,10114,RUBIÁ,Ourense,42.46311,-6.929479,577.0
10115,16,2010,2025,4.722,0.036,4.0,2.222,0.0031,2.38,0.0,,0.0,1.242,0.0788,0.72,1.472,0.096,0.56,0.0,0.0416,1.75,0.954,0.0046,0.51,-15.0,0.0268,-12.62,3.935,0.0,2.87,13.205,0.0008,11.5,10115,A VEIGA,Ourense,42.355392,-7.008639,1229.0
10116,16,2010,2025,7.75,0.2999,3.25,5.417,0.3196,1.5,2.111,0.05,1.5,1.271,0.139,0.65,1.298,0.116,0.37,0.0,0.329,0.25,0.727,0.0046,0.43,-8.258,0.3659,-4.75,2.961,0.0033,2.01,12.667,0.1044,8.88,10116,VIANA DO BOLO,Ourense,42.16304,-7.089615,851.0
10117,16,2010,2025,4.0,0.2056,2.75,2.25,0.1103,2.12,0.0,0.0485,0.62,1.001,0.3502,0.57,1.382,0.1653,0.28,0.742,0.0088,1.5,1.036,0.0046,0.57,-20.0,0.0044,-15.5,2.54,0.0086,1.3,11.833,0.1044,5.0,10117,SAN XOÁN DE RÍO,Ourense,42.393867,-7.297161,1026.0
10118,16,2010,2025,0.69,0.0558,0.5,0.0,0.2528,0.12,0.0,,0.0,1.107,0.265,0.4,1.189,0.0152,0.66,0.0,0.8243,0.25,0.924,0.0008,0.66,0.0,0.0828,-0.62,1.264,0.3282,0.79,2.857,0.1069,2.11,10118,BURELA,Lugo,43.644855,-7.374807,421.0
10119,16,2010,2025,5.934,0.1233,4.12,2.0,0.0437,2.88,0.0,0.0061,0.5,1.397,0.0641,1.04,1.577,0.0788,0.82,1.833,0.2936,1.75,1.134,0.0046,0.67,-15.994,0.0003,-14.75,1.73,0.0926,1.43,7.692,0.0252,7.39,10119,MUÍÑOS,Ourense,41.903606,-7.971908,1059.0
10121,16,2010,2025,2.0,0.7169,1.5,0.917,0.7169,-0.38,0.0,0.7469,0.38,0.358,0.8248,0.59,0.841,0.265,0.4,0.0,0.329,0.12,0.879,0.0046,0.56,-5.934,0.2779,-2.62,2.914,0.0788,2.66,10.333,0.2589,9.38,10121,CERDEDO-COTOBADE,Pontevedra,42.467537,-8.502887,367.0
10122,16,2010,2025,2.5,0.1558,2.75,2.5,0.009,2.5,0.0,0.329,0.25,0.829,0.265,0.54,1.432,0.116,0.59,2.0,0.236,1.5,0.971,0.0064,0.55,-14.722,0.0029,-10.75,2.64,0.0086,1.74,8.782,0.0241,5.75,10122,RODEIRO,Pontevedra,42.579758,-7.933075,991.0
10124,16,2010,2025,-1.548,0.7519,-0.62,0.0,0.9638,-0.5,0.0,0.8519,0.0,-0.587,0.5056,-0.73,0.577,0.5056,0.17,0.0,0.1241,0.5,0.663,0.0115,0.41,0.0,0.6453,-1.75,0.37,0.6901,0.07,2.222,0.7524,1.62,10124,SANTIAGO DE COMPOSTELA,A Coruña,42.87596,-8.559434,255.0
10125,16,2010,2025,0.0,0.9638,0.25,0.0,0.6422,0.75,0.0,0.396,-0.25,0.043,1.0,0.12,0.485,0.5056,0.07,0.0,1.0,0.0,0.564,0.0413,0.27,0.0,,0.0,1.861,0.4503,1.23,5.505,0.2779,4.25,10125,VIGO,Pontevedra,42.2139,-8.906,25.0
