lat,lon,tx_verano_clim,tx_verano_tend,tx_p99_clim,tx_p99_tend
42.298,-6.743,20.51,0.011,27.04,0.124
42.298,-6.676,22.02,0.091,28.59,0.235
42.298,-6.608,23.75,0.196,30.26,0.321
42.299,-6.541,24.13,0.211,30.64,0.339
42.318,-8.771,24.71,0.237,31.99,0.405
42.319,-8.704,25.16,0.241,32.56,0.427
42.322,-8.569,25.69,0.263,33.17,0.44
42.324,-8.501,25.18,0.277,32.89,0.441
42.325,-8.434,23.82,0.287,31.65,0.426
42.327,-8.366,22.28,0.273,29.77,0.447
42.328,-8.299,22.19,0.274,29.55,0.428
42.329,-8.231,24.08,0.292,31.69,0.436
42.33,-8.163,26.49,0.289,33.88,0.448
42.332,-8.096,27.62,0.281,34.74,0.448
42.333,-8.028,27.32,0.294,34.55,0.437
42.334,-7.961,27.43,0.299,34.71,0.432
42.335,-7.893,27.79,0.299,34.91,0.43
42.336,-7.825,28.14,0.296,35.28,0.434
42.337,-7.758,26.49,0.292,33.9,0.412
42.338,-7.69,24.63,0.264,31.91,0.374
42.339,-7.623,23.78,0.257,30.82,0.377
42.34,-7.555,24.09,0.263,31.14,0.377
42.341,-7.487,24.5,0.264,31.57,0.357
42.342,-7.42,24.14,0.252,31.04,0.386
42.342,-7.352,23.74,0.242,30.5,0.39
42.343,-7.285,24.85,0.258,31.73,0.395
42.344,-7.217,26.66,0.268,33.79,0.327
42.344,-7.149,27.79,0.273,34.93,0.339
42.345,-7.082,26.42,0.261,33.35,0.353
42.346,-7.014,24.61,0.252,31.25,0.398
42.346,-6.947,24.23,0.24,30.79,0.391
42.347,-6.879,24.22,0.236,30.76,0.375
42.347,-6.811,23.37,0.215,29.86,0.347
42.348,-6.744,22.26,0.173,28.78,0.306
42.348,-6.676,23.11,0.18,29.61,0.311
42.348,-6.609,23.47,0.196,29.98,0.319
42.349,-6.541,22.73,0.142,29.31,0.268
42.369,-8.706,24.79,0.239,32.13,0.419
42.371,-8.638,25.64,0.247,32.94,0.423
42.372,-8.571,25.7,0.258,33.08,0.432
42.374,-8.503,24.85,0.272,32.6,0.421
