idema,anio,n,tx_p99,tx_max,d_tx30,d_tx32,n_verano,tx_verano,tmed,nombre
1428,1990,365,36.09600000000002,39.4,23.0,14.0,92,25.417391304347827,13.376986301369865,Santiago De Compostela Aeropuerto
1428,1991,365,31.308000000000003,33.4,14.0,2.0,92,22.991304347826084,12.27150684931507,Santiago De Compostela Aeropuerto
1428,1992,366,31.680000000000017,34.0,9.0,4.0,92,22.7,12.406830601092897,Santiago De Compostela Aeropuerto
1428,1993,365,31.436,37.4,9.0,3.0,92,24.14782608695652,12.40958904109589,Santiago De Compostela Aeropuerto
1428,1994,365,30.336000000000002,33.0,7.0,1.0,92,23.847826086956516,12.787123287671234,Santiago De Compostela Aeropuerto
1428,1995,365,32.272000000000006,37.6,12.0,5.0,92,24.821739130434782,13.862465753424656,Santiago De Compostela Aeropuerto
1428,1996,366,33.470000000000006,34.5,12.0,7.0,92,24.561956521739123,12.95327868852459,Santiago De Compostela Aeropuerto
1428,1997,364,30.274,32.2,8.0,1.0,92,22.717391304347824,14.18131868131868,Santiago De Compostela Aeropuerto
1428,1998,364,33.6,37.0,17.0,7.0,92,24.65978260869565,13.387637362637363,Santiago De Compostela Aeropuerto
1428,1999,365,32.30800000000001,35.2,7.0,5.0,92,24.03369565217391,12.874794520547944,Santiago De Compostela Aeropuerto
1428,2000,366,32.470000000000006,35.5,11.0,6.0,92,23.346739130434777,12.806284153005462,Santiago De Compostela Aeropuerto
1428,2001,365,33.016000000000005,37.2,14.0,8.0,92,24.131521739130434,13.066849315068492,Santiago De Compostela Aeropuerto
1428,2002,365,30.0,33.8,5.0,2.0,92,22.900000000000002,13.291506849315068,Santiago De Compostela Aeropuerto
1428,2003,365,34.72000000000003,39.0,22.0,13.0,92,25.129347826086956,13.630958904109587,Santiago De Compostela Aeropuerto
1428,2004,366,32.210000000000015,33.5,14.0,7.0,92,24.74673913043479,13.155191256830602,Santiago De Compostela Aeropuerto
1428,2005,365,34.18000000000001,35.0,21.0,12.0,92,25.715217391304346,13.284109589041098,Santiago De Compostela Aeropuerto
1428,2006,364,34.396,38.1,21.0,9.0,92,25.506521739130434,13.662637362637362,Santiago De Compostela Aeropuerto
1428,2007,365,30.78800000000001,32.8,7.0,2.0,92,21.95217391304348,12.754794520547945,Santiago De Compostela Aeropuerto
1428,2008,356,29.024999999999995,33.5,2.0,1.0,90,22.45555555555556,12.471348314606741,Santiago De Compostela Aeropuerto
1428,2009,359,30.668000000000006,31.9,9.0,0.0,92,22.76304347826087,12.698050139275766,Santiago De Compostela Aeropuerto
