n_dias,d_tx30,d_tx32,d_tx35,tx_p99,tx_max,tx_verano,noches_trop,tmean,d_helada,hx_p99,d_hx35,estacion,anio,id,concello,provincia,lat,lon,alt
365,1.0,1.0,0.0,27.753600000000002,33.44,23.56032608695652,0.0,14.97264383561644,0.0,38.62744905812323,21.0,10050,2015,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
366,6.0,4.0,1.0,31.74950000000002,35.24,24.180652173913042,0.0,14.805341530054646,0.0,42.335822086379665,35.0,10050,2016,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,8.0,5.0,2.0,33.08960000000002,37.06,24.013260869565215,0.0,15.192315068493153,1.0,46.36273550594094,30.0,10050,2017,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,9.0,2.0,2.0,31.634400000000003,35.4,23.79119565217391,1.0,14.897383561643835,1.0,45.12381873845446,35.0,10050,2018,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,4.0,1.0,0.0,30.235600000000012,33.49,23.135978260869567,0.0,14.865342465753425,0.0,41.19780975348143,22.0,10050,2019,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
366,3.0,3.0,1.0,29.41450000000001,35.98,22.960326086956524,0.0,15.47400273224044,0.0,41.32055584495061,28.0,10050,2020,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,5.0,3.0,1.0,30.831200000000013,35.34,22.52913043478261,0.0,14.930835616438356,0.0,43.05592203455833,17.0,10050,2021,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,6.0,5.0,2.0,32.1412,36.38,23.923152173913042,5.0,15.65495890410959,0.0,43.09251815880355,27.0,10050,2022,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,8.0,5.0,1.0,32.50160000000001,38.65,24.51804347826087,4.0,16.078890410958905,0.0,45.11980537666161,36.0,10050,2023,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
366,3.0,1.0,0.0,28.553500000000007,32.23,23.352391304347826,2.0,15.70398907103825,0.0,39.31390213372624,18.0,10050,2024,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,8.0,4.0,0.0,32.12400000000001,34.41,24.72717391304348,1.0,15.794698630136985,0.0,45.26150241617375,28.0,10050,2025,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,5.0,1.0,0.0,30.0208,32.5,21.152391304347827,2.0,11.059397260273974,22.0,37.984228502604125,8.0,10052,2010,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,1.0,1.0,0.0,28.365200000000005,32.19,19.12217391304348,1.0,11.876671232876712,6.0,35.51250115892002,5.0,10052,2011,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
366,1.0,1.0,0.0,28.586500000000008,32.32,18.49445652173913,1.0,11.054016393442621,9.0,34.53587267463933,3.0,10052,2012,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,5.0,1.0,0.0,30.454400000000003,32.51,20.605108695652174,5.0,11.024794520547944,8.0,37.450902101555066,20.0,10052,2013,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,0.0,0.0,0.0,26.797200000000004,28.42,19.043695652173913,0.0,11.52232876712329,1.0,34.79702977990714,4.0,10052,2014,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,2.0,1.0,0.0,29.145200000000013,32.37,20.80858695652174,0.0,11.82119178082192,4.0,38.24139878636368,9.0,10052,2015,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
366,8.0,4.0,1.0,31.64400000000003,36.34,22.338043478260868,9.0,12.006530054644807,1.0,39.42492478685624,13.0,10052,2016,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,7.0,0.0,0.0,30.2372,31.7,21.31565217391304,5.0,12.487191780821917,5.0,38.91593449128675,13.0,10052,2017,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
